travel_date,month,month_name,year,origin,destination,airline,booking_window,seasonal_mult,base_price,final_price
2023-08-04,8,August,2023,New York (JFK),Tokyo (HND),United Airlines,117,0.95,1153,1021.98
2024-04-21,4,April,2024,Seattle (SEA),Osaka (KIX),United Airlines,120,1.55,847,1243.6
2024-06-07,6,June,2024,Chicago (ORD),Osaka (KIX),ANA,128,0.88,1235,986.27
2023-10-18,10,October,2023,Los Angeles (LAX),Osaka (KIX),Japan Airlines,138,1.3,874,1125.72
2023-08-29,8,August,2023,Seattle (SEA),Tokyo (HND),Japan Airlines,179,0.95,871,799.62
2023-05-31,5,May,2023,San Francisco (SFO),Tokyo (NRT),ANA,13,1.4,824,1111.69
2024-09-17,9,September,2024,New York (JFK),Tokyo (NRT),Delta Airlines,25,1.05,1200,1250.49
2023-07-19,7,July,2023,Chicago (ORD),Tokyo (HND),American Airlines,105,0.92,1082,1014.64
2023-06-01,6,June,2023,Chicago (ORD),Tokyo (HND),ANA,174,0.88,1118,1008.38
2023-08-13,8,August,2023,New York (JFK),Tokyo (NRT),Delta Airlines,52,0.95,1200,1202.58
2024-07-24,7,July,2024,Seattle (SEA),Tokyo (HND),Japan Airlines,70,0.92,871,803.44
2024-04-20,4,April,2024,New York (JFK),Tokyo (HND),ANA,177,1.55,1200,1629.18
2023-11-21,11,November,2023,Seattle (SEA),Osaka (KIX),American Airlines,120,1.25,871,909.95
2024-03-12,3,March,2024,Seattle (SEA),Osaka (KIX),American Airlines,147,1.45,871,1171.03
2024-04-05,4,April,2024,Chicago (ORD),Tokyo (NRT),Delta Airlines,73,1.55,1141,1988.3
2024-06-17,6,June,2024,Los Angeles (LAX),Osaka (KIX),United Airlines,131,0.88,765,676.06
2023-03-21,3,March,2023,Los Angeles (LAX),Tokyo (HND),Delta Airlines,80,1.45,882,1147.11
2023-11-24,11,November,2023,Los Angeles (LAX),Tokyo (HND),United Airlines,145,1.25,735,873.11
2023-08-25,8,August,2023,New York (JFK),Tokyo (NRT),ANA,105,0.95,1235,1247.44
2023-03-07,3,March,2023,Los Angeles (LAX),Osaka (KIX),ANA,113,1.45,808,1018.75
2024-04-22,4,April,2024,Chicago (ORD),Tokyo (HND),American Airlines,113,1.55,1082,1652.09
2024-02-03,2,February,2024,New York (JFK),Tokyo (NRT),Delta Airlines,156,0.85,1200,873.46
2024-05-03,5,May,2024,New York (JFK),Osaka (KIX),Delta Airlines,8,1.4,1282,2201.72
2024-03-05,3,March,2024,San Francisco (SFO),Tokyo (HND),Delta Airlines,144,1.45,835,1094.14
2024-05-14,5,May,2024,Seattle (SEA),Osaka (KIX),ANA,63,1.4,894,1310.98
2023-01-30,1,January,2023,San Francisco (SFO),Tokyo (HND),Delta Airlines,106,0.82,835,579.67
2023-06-19,6,June,2023,San Francisco (SFO),Osaka (KIX),Delta Airlines,126,0.88,906,823.12
2023-01-28,1,January,2023,Los Angeles (LAX),Osaka (KIX),American Airlines,107,0.82,788,638.29
2023-03-27,3,March,2023,Seattle (SEA),Osaka (KIX),Japan Airlines,171,1.45,965,1225.54
2023-07-06,7,July,2023,Chicago (ORD),Tokyo (NRT),Delta Airlines,19,0.92,1141,1268.97
2023-08-05,8,August,2023,San Francisco (SFO),Tokyo (HND),United Airlines,123,0.95,765,760.87
2023-10-12,10,October,2023,San Francisco (SFO),Tokyo (HND),Delta Airlines,114,1.3,835,1006.96
2023-01-20,1,January,2023,San Francisco (SFO),Tokyo (NRT),Delta Airlines,145,0.82,859,708.39
2024-10-27,10,October,2024,New York (JFK),Tokyo (HND),ANA,24,1.3,1200,1837.54
2023-07-24,7,July,2023,New York (JFK),Tokyo (NRT),ANA,12,0.92,1235,1322.0
2023-05-10,5,May,2023,Seattle (SEA),Tokyo (NRT),ANA,128,1.4,847,1022.07
2024-04-21,4,April,2024,New York (JFK),Osaka (KIX),ANA,72,1.55,1318,1982.45
2024-09-13,9,September,2024,San Francisco (SFO),Tokyo (NRT),American Airlines,36,1.05,788,894.87
2024-08-15,8,August,2024,Los Angeles (LAX),Tokyo (HND),Japan Airlines,13,0.95,811,801.74
2024-02-11,2,February,2024,San Francisco (SFO),Osaka (KIX),Delta Airlines,57,0.85,906,650.95
2023-04-15,4,April,2023,New York (JFK),Osaka (KIX),ANA,84,1.55,1318,2146.51
2023-02-12,2,February,2023,Seattle (SEA),Tokyo (NRT),American Airlines,95,0.85,824,591.16
2023-03-12,3,March,2023,Seattle (SEA),Tokyo (HND),United Airlines,136,1.45,800,1110.94
2024-05-16,5,May,2024,San Francisco (SFO),Tokyo (NRT),Delta Airlines,34,1.4,859,1276.57
2024-12-25,12,December,2024,Chicago (ORD),Tokyo (HND),Delta Airlines,46,1.0,1106,974.36
2024-10-28,10,October,2024,Chicago (ORD),Tokyo (NRT),American Airlines,76,1.3,1106,1444.01
2024-04-21,4,April,2024,Seattle (SEA),Osaka (KIX),Delta Airlines,118,1.55,918,1451.85
2023-09-09,9,September,2023,Seattle (SEA),Tokyo (HND),United Airlines,29,1.05,800,895.56
2024-04-20,4,April,2024,San Francisco (SFO),Tokyo (HND),ANA,152,1.55,800,1200.87
2023-12-11,12,December,2023,Seattle (SEA),Osaka (KIX),Delta Airlines,14,1.0,918,931.87
2024-05-14,5,May,2024,Chicago (ORD),Tokyo (HND),ANA,61,1.4,1118,1411.01
2023-10-14,10,October,2023,San Francisco (SFO),Tokyo (HND),United Airlines,159,1.3,765,1013.04
2024-06-13,6,June,2024,San Francisco (SFO),Osaka (KIX),Japan Airlines,55,0.88,941,779.32
2024-05-15,5,May,2024,New York (JFK),Tokyo (NRT),Delta Airlines,149,1.4,1200,1391.22
2024-10-23,10,October,2024,Los Angeles (LAX),Osaka (KIX),Delta Airlines,132,1.3,847,1052.07
2023-10-29,10,October,2023,Chicago (ORD),Tokyo (NRT),Japan Airlines,63,1.3,1235,1616.54
2023-11-10,11,November,2023,Chicago (ORD),Osaka (KIX),ANA,176,1.25,1235,1620.52
2024-07-20,7,July,2024,Seattle (SEA),Tokyo (HND),Delta Airlines,142,0.92,847,738.14
2023-12-05,12,December,2023,San Francisco (SFO),Tokyo (HND),American Airlines,97,1.0,765,676.94
2023-09-15,9,September,2023,Chicago (ORD),Tokyo (HND),United Airlines,66,1.05,1082,1100.17
2023-11-20,11,November,2023,New York (JFK),Osaka (KIX),ANA,37,1.25,1318,1506.56
2023-07-16,7,July,2023,Seattle (SEA),Osaka (KIX),ANA,62,0.92,894,698.31
2024-06-21,6,June,2024,Chicago (ORD),Tokyo (HND),American Airlines,159,0.88,1082,974.83
2023-10-31,10,October,2023,San Francisco (SFO),Tokyo (NRT),ANA,65,1.3,824,1018.62
2023-01-15,1,January,2023,San Francisco (SFO),Tokyo (NRT),United Airlines,143,0.82,765,577.59
2023-02-25,2,February,2023,Los Angeles (LAX),Tokyo (HND),Japan Airlines,148,0.85,811,583.85
2024-10-15,10,October,2024,San Francisco (SFO),Osaka (KIX),ANA,132,1.3,871,1033.38
2023-10-19,10,October,2023,New York (JFK),Tokyo (NRT),American Airlines,127,1.3,1165,1382.34
2023-07-08,7,July,2023,Chicago (ORD),Tokyo (HND),United Airlines,20,0.92,1082,1063.34
2023-03-08,3,March,2023,San Francisco (SFO),Tokyo (HND),Japan Airlines,109,1.45,847,1176.32
2024-10-06,10,October,2024,Chicago (ORD),Tokyo (NRT),American Airlines,20,1.3,1106,1554.03
2023-11-08,11,November,2023,Los Angeles (LAX),Tokyo (NRT),American Airlines,28,1.25,759,939.06
2024-03-02,3,March,2024,Los Angeles (LAX),Tokyo (NRT),American Airlines,162,1.45,759,909.86
2024-06-19,6,June,2024,Seattle (SEA),Osaka (KIX),ANA,104,0.88,894,810.51
2024-08-25,8,August,2024,Chicago (ORD),Tokyo (HND),United Airlines,116,0.95,1082,938.19
2023-03-03,3,March,2023,San Francisco (SFO),Osaka (KIX),American Airlines,163,1.45,835,1113.64
2023-09-28,9,September,2023,New York (JFK),Tokyo (NRT),ANA,176,1.05,1235,1311.88
2023-06-27,6,June,2023,New York (JFK),Tokyo (NRT),ANA,148,0.88,1235,1160.59
2024-02-23,2,February,2024,New York (JFK),Tokyo (NRT),Japan Airlines,122,0.85,1294,903.61
2023-02-03,2,February,2023,Seattle (SEA),Tokyo (HND),United Airlines,66,0.85,800,584.89
2024-12-20,12,December,2024,San Francisco (SFO),Osaka (KIX),United Airlines,123,1.0,812,690.07
2023-09-28,9,September,2023,New York (JFK),Osaka (KIX),ANA,167,1.05,1318,1128.14
2024-03-11,3,March,2024,Seattle (SEA),Osaka (KIX),ANA,36,1.45,894,1435.91
2023-09-30,9,September,2023,Seattle (SEA),Tokyo (NRT),ANA,43,1.05,847,1010.65
2023-11-11,11,November,2023,New York (JFK),Tokyo (NRT),ANA,159,1.25,1235,1321.94
2023-05-08,5,May,2023,Seattle (SEA),Tokyo (HND),Delta Airlines,126,1.4,847,1172.34
2023-10-06,10,October,2023,San Francisco (SFO),Osaka (KIX),Delta Airlines,135,1.3,906,1184.92
2023-03-24,3,March,2023,Seattle (SEA),Tokyo (HND),Delta Airlines,160,1.45,847,1042.82
2024-09-10,9,September,2024,New York (JFK),Tokyo (HND),United Airlines,71,1.05,1153,1291.78
2024-11-21,11,November,2024,New York (JFK),Tokyo (NRT),ANA,154,1.25,1235,1582.5
2024-08-13,8,August,2024,Seattle (SEA),Tokyo (NRT),United Airlines,17,0.95,800,825.75
2024-10-29,10,October,2024,Los Angeles (LAX),Tokyo (HND),American Airlines,120,1.3,759,914.62
2024-03-22,3,March,2024,San Francisco (SFO),Tokyo (NRT),American Airlines,169,1.45,788,1139.89
2023-12-23,12,December,2023,Chicago (ORD),Tokyo (NRT),Delta Airlines,111,1.0,1141,1146.69
2023-06-14,6,June,2023,San Francisco (SFO),Tokyo (HND),Japan Airlines,91,0.88,847,648.21
2023-10-23,10,October,2023,Chicago (ORD),Osaka (KIX),Delta Airlines,176,1.3,1224,1520.53
2024-04-10,4,April,2024,Chicago (ORD),Osaka (KIX),Japan Airlines,29,1.55,1318,2221.32
2023-04-29,4,April,2023,San Francisco (SFO),Tokyo (HND),United Airlines,110,1.55,765,1016.84
2024-04-18,4,April,2024,Seattle (SEA),Tokyo (NRT),American Airlines,112,1.55,824,1244.8
2024-01-06,1,January,2024,New York (JFK),Tokyo (NRT),American Airlines,166,0.82,1165,882.35
2023-02-22,2,February,2023,Chicago (ORD),Osaka (KIX),Delta Airlines,59,0.85,1224,1141.54
2023-10-22,10,October,2023,San Francisco (SFO),Osaka (KIX),ANA,119,1.3,871,1075.1
2024-10-07,10,October,2024,Chicago (ORD),Tokyo (NRT),Japan Airlines,162,1.3,1235,1387.86
2023-11-15,11,November,2023,Los Angeles (LAX),Osaka (KIX),ANA,148,1.25,808,996.82
2023-04-06,4,April,2023,New York (JFK),Osaka (KIX),Delta Airlines,64,1.55,1282,2137.37
2024-10-25,10,October,2024,New York (JFK),Tokyo (HND),Japan Airlines,46,1.3,1247,1439.55
2024-06-05,6,June,2024,Chicago (ORD),Osaka (KIX),United Airlines,76,0.88,1165,905.77
2023-09-07,9,September,2023,Chicago (ORD),Tokyo (HND),Delta Airlines,123,1.05,1106,1099.08
2023-07-15,7,July,2023,Seattle (SEA),Tokyo (NRT),Delta Airlines,160,0.92,871,688.07
2023-03-13,3,March,2023,Seattle (SEA),Osaka (KIX),ANA,77,1.45,894,1189.15
2023-10-01,10,October,2023,Chicago (ORD),Tokyo (HND),American Airlines,7,1.3,1082,1494.46
2024-08-24,8,August,2024,San Francisco (SFO),Osaka (KIX),United Airlines,155,0.95,812,654.88
2024-07-05,7,July,2024,Chicago (ORD),Tokyo (NRT),Delta Airlines,130,0.92,1141,898.71
2024-07-10,7,July,2024,San Francisco (SFO),Tokyo (HND),American Airlines,103,0.92,765,655.41
2024-12-15,12,December,2024,Chicago (ORD),Tokyo (HND),ANA,68,1.0,1118,1025.79
2024-02-25,2,February,2024,Seattle (SEA),Tokyo (HND),ANA,18,0.85,824,725.58
2024-12-23,12,December,2024,San Francisco (SFO),Osaka (KIX),Delta Airlines,104,1.0,906,940.18
2024-05-22,5,May,2024,Chicago (ORD),Osaka (KIX),ANA,16,1.4,1235,2158.37
2023-12-06,12,December,2023,Los Angeles (LAX),Osaka (KIX),American Airlines,32,1.0,788,788.19
2024-04-12,4,April,2024,Chicago (ORD),Tokyo (NRT),American Airlines,10,1.55,1106,1997.62
2023-03-18,3,March,2023,Los Angeles (LAX),Tokyo (HND),ANA,127,1.45,779,1066.39
2024-12-10,12,December,2024,San Francisco (SFO),Tokyo (HND),American Airlines,108,1.0,765,641.14
2024-01-25,1,January,2024,New York (JFK),Tokyo (HND),American Airlines,88,0.82,1141,811.7
2024-09-24,9,September,2024,Chicago (ORD),Osaka (KIX),Japan Airlines,24,1.05,1318,1280.36
2023-08-21,8,August,2023,Los Angeles (LAX),Osaka (KIX),United Airlines,30,0.95,765,728.95
2024-03-30,3,March,2024,Chicago (ORD),Tokyo (NRT),Japan Airlines,49,1.45,1235,1879.12
2023-11-29,11,November,2023,San Francisco (SFO),Tokyo (NRT),Japan Airlines,21,1.25,894,1326.78
2024-03-17,3,March,2024,San Francisco (SFO),Tokyo (HND),United Airlines,44,1.45,765,1192.06
2024-08-02,8,August,2024,Los Angeles (LAX),Osaka (KIX),Delta Airlines,53,0.95,847,764.36
2024-09-16,9,September,2024,Los Angeles (LAX),Tokyo (NRT),Japan Airlines,104,1.05,870,780.16
2024-05-24,5,May,2024,Seattle (SEA),Osaka (KIX),ANA,156,1.4,894,1070.02
2024-10-15,10,October,2024,Los Angeles (LAX),Tokyo (NRT),Delta Airlines,72,1.3,838,1118.03
2024-04-21,4,April,2024,Chicago (ORD),Tokyo (HND),Japan Airlines,80,1.55,1188,1634.49
2024-03-28,3,March,2024,Seattle (SEA),Tokyo (NRT),Japan Airlines,95,1.45,918,1373.03
2024-12-07,12,December,2024,Seattle (SEA),Tokyo (HND),Delta Airlines,71,1.0,847,872.17
2024-01-29,1,January,2024,Chicago (ORD),Tokyo (HND),ANA,130,0.82,1118,849.16
2024-08-08,8,August,2024,New York (JFK),Tokyo (NRT),Delta Airlines,98,0.95,1200,1117.83
2023-01-23,1,January,2023,Seattle (SEA),Tokyo (HND),United Airlines,175,0.82,800,529.09
2024-08-02,8,August,2024,Chicago (ORD),Tokyo (HND),Japan Airlines,19,0.95,1188,1420.35
2023-10-21,10,October,2023,Seattle (SEA),Osaka (KIX),Delta Airlines,65,1.3,918,1172.92
2024-10-13,10,October,2024,Seattle (SEA),Tokyo (HND),ANA,55,1.3,824,976.62
2024-10-05,10,October,2024,Seattle (SEA),Tokyo (HND),ANA,31,1.3,824,1131.89
2023-02-04,2,February,2023,New York (JFK),Tokyo (HND),Delta Airlines,155,0.85,1176,904.44
2023-04-03,4,April,2023,San Francisco (SFO),Osaka (KIX),ANA,82,1.55,871,1532.38
2023-06-29,6,June,2023,San Francisco (SFO),Osaka (KIX),Delta Airlines,58,0.88,906,824.78
2024-06-27,6,June,2024,Los Angeles (LAX),Osaka (KIX),United Airlines,135,0.88,765,612.39
2024-05-08,5,May,2024,San Francisco (SFO),Tokyo (NRT),United Airlines,82,1.4,765,1075.29
2023-03-19,3,March,2023,San Francisco (SFO),Tokyo (NRT),Delta Airlines,43,1.45,859,1542.08
2024-07-24,7,July,2024,Los Angeles (LAX),Osaka (KIX),Delta Airlines,100,0.92,847,816.15
2023-09-28,9,September,2023,New York (JFK),Tokyo (HND),Japan Airlines,144,1.05,1247,1234.22
2024-11-19,11,November,2024,New York (JFK),Tokyo (HND),United Airlines,179,1.25,1153,1524.02
2024-10-15,10,October,2024,San Francisco (SFO),Osaka (KIX),Delta Airlines,102,1.3,906,925.83
2024-04-27,4,April,2024,New York (JFK),Osaka (KIX),ANA,13,1.55,1318,2230.86
2024-09-16,9,September,2024,Seattle (SEA),Osaka (KIX),United Airlines,63,1.05,847,954.15
2024-12-18,12,December,2024,New York (JFK),Osaka (KIX),Delta Airlines,84,1.0,1282,1280.37
2023-02-16,2,February,2023,Chicago (ORD),Tokyo (NRT),ANA,16,0.85,1153,1231.78
2023-04-10,4,April,2023,San Francisco (SFO),Tokyo (HND),Japan Airlines,67,1.55,847,1395.05
2024-04-09,4,April,2024,Seattle (SEA),Tokyo (NRT),Delta Airlines,101,1.55,871,1196.3
2023-06-08,6,June,2023,Seattle (SEA),Tokyo (HND),American Airlines,113,0.88,800,602.52
2024-02-22,2,February,2024,New York (JFK),Tokyo (HND),American Airlines,78,0.85,1141,1063.51
2023-08-11,8,August,2023,New York (JFK),Osaka (KIX),United Airlines,120,0.95,1235,1221.16
2023-04-12,4,April,2023,Chicago (ORD),Tokyo (NRT),United Airlines,101,1.55,1082,1722.93
2023-03-04,3,March,2023,Seattle (SEA),Osaka (KIX),United Airlines,108,1.45,847,1201.1
